ID,Topic_EN,Topic_ES,Topic_DE,Topic_FR,Topic_ZH,Description_EN,Description_ES,Description_DE,Description_FR,Description_ZH,Level,Estimated_Hours,Resources
228,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,45,"Coursera, YouTube, Books"
229,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,20,"edX, Blogs, Tutorials"
230,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Advanced,7,"Coursera, YouTube, Books"
231,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,23,"Coursera, YouTube, Books"
232,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,24,"Coursera, YouTube, Books"
233,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,11,"edX, Blogs, Tutorials"
234,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,30,"edX, Blogs, Tutorials"
235,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,5,"Kaggle, GitHub, Research Papers"
236,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,43,"Coursera, YouTube, Books"
237,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,10,"edX, Blogs, Tutorials"
238,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,37,"Kaggle, GitHub, Research Papers"
239,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,41,"edX, Blogs, Tutorials"
240,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,5,"Coursera, YouTube, Books"
241,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,39,"Kaggle, GitHub, Research Papers"
242,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,8,"Kaggle, GitHub, Research Papers"
243,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,5,"Coursera, YouTube, Books"
244,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,28,"Coursera, YouTube, Books"
245,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,48,"Coursera, YouTube, Books"
246,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,18,"edX, Blogs, Tutorials"
247,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,31,"Coursera, YouTube, Books"
248,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,32,"Coursera, YouTube, Books"
249,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,13,"Kaggle, GitHub, Research Papers"
250,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,16,"edX, Blogs, Tutorials"
251,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,43,"Coursera, YouTube, Books"
252,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,9,"edX, Blogs, Tutorials"
253,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,14,"Coursera, YouTube, Books"
254,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,27,"Coursera, YouTube, Books"
255,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,39,"edX, Blogs, Tutorials"
256,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,49,"edX, Blogs, Tutorials"
257,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,11,"Kaggle, GitHub, Research Papers"
258,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,17,"Kaggle, GitHub, Research Papers"
259,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Intermediate,5,"edX, Blogs, Tutorials"
260,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,23,"Kaggle, GitHub, Research Papers"
261,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,35,"Coursera, YouTube, Books"
262,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Advanced,44,"Coursera, YouTube, Books"
263,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,28,"edX, Blogs, Tutorials"
264,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,22,"Kaggle, GitHub, Research Papers"
265,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,49,"edX, Blogs, Tutorials"
266,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,41,"Coursera, YouTube, Books"
267,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,28,"Kaggle, GitHub, Research Papers"
268,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,42,"Kaggle, GitHub, Research Papers"
269,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,42,"Kaggle, GitHub, Research Papers"
270,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,23,"Kaggle, GitHub, Research Papers"
271,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,45,"edX, Blogs, Tutorials"
272,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Intermediate,42,"Coursera, YouTube, Books"
273,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,13,"Coursera, YouTube, Books"
274,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,20,"edX, Blogs, Tutorials"
275,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,43,"edX, Blogs, Tutorials"
276,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,50,"Coursera, YouTube, Books"
277,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,24,"edX, Blogs, Tutorials"
278,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,9,"Coursera, YouTube, Books"
279,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,48,"Coursera, YouTube, Books"
280,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,15,"Coursera, YouTube, Books"
281,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,6,"Kaggle, GitHub, Research Papers"
282,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,6,"Kaggle, GitHub, Research Papers"
283,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,34,"edX, Blogs, Tutorials"
284,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,37,"edX, Blogs, Tutorials"
285,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,33,"Coursera, YouTube, Books"
286,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,35,"Coursera, YouTube, Books"
287,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,17,"edX, Blogs, Tutorials"
288,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,11,"Coursera, YouTube, Books"
289,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,25,"Kaggle, GitHub, Research Papers"
290,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,14,"Coursera, YouTube, Books"
291,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,30,"edX, Blogs, Tutorials"
292,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,28,"Kaggle, GitHub, Research Papers"
293,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,43,"Kaggle, GitHub, Research Papers"
294,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,33,"Kaggle, GitHub, Research Papers"
295,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,12,"Coursera, YouTube, Books"
296,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,18,"Coursera, YouTube, Books"
297,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,43,"Kaggle, GitHub, Research Papers"
298,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,20,"Coursera, YouTube, Books"
299,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,10,"Coursera, YouTube, Books"
300,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,32,"Kaggle, GitHub, Research Papers"
301,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Beginner,9,"Kaggle, GitHub, Research Papers"
302,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,21,"Coursera, YouTube, Books"
303,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,36,"Coursera, YouTube, Books"
304,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,5,"Kaggle, GitHub, Research Papers"
305,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,15,"edX, Blogs, Tutorials"
306,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,29,"edX, Blogs, Tutorials"
307,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,20,"edX, Blogs, Tutorials"
308,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Intermediate,48,"Coursera, YouTube, Books"
309,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,47,"edX, Blogs, Tutorials"
310,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,48,"Kaggle, GitHub, Research Papers"
311,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,25,"edX, Blogs, Tutorials"
312,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,9,"Coursera, YouTube, Books"
313,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,30,"edX, Blogs, Tutorials"
314,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,35,"Coursera, YouTube, Books"
315,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,41,"Coursera, YouTube, Books"
316,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,48,"Kaggle, GitHub, Research Papers"
317,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Advanced,19,"edX, Blogs, Tutorials"
318,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,22,"Kaggle, GitHub, Research Papers"
319,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,29,"Coursera, YouTube, Books"
320,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Advanced,6,"Kaggle, GitHub, Research Papers"
